"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|CH","Without Sequence","44.94","",""
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|CH","Without Sequence","43.43","",""
"01/01/2015 02:00:00 - 01/01/2015 03:00:00","BZN|CH","Without Sequence","38.08","",""
"01/01/2015 03:00:00 - 01/01/2015 04:00:00","BZN|CH","Without Sequence","35.47","",""
"01/01/2015 04:00:00 - 01/01/2015 05:00:00","BZN|CH","Without Sequence","30.83","",""
"01/01/2015 05:00:00 - 01/01/2015 06:00:00","BZN|CH","Without Sequence","28.26","",""
"01/01/2015 06:00:00 - 01/01/2015 07:00:00","BZN|CH","Without Sequence","25.36","",""
"01/01/2015 07:00:00 - 01/01/2015 08:00:00","BZN|CH","Without Sequence","26.93","",""
"01/01/2015 08:00:00 - 01/01/2015 09:00:00","BZN|CH","Without Sequence","24.95","",""
"01/01/2015 09:00:00 - 01/01/2015 10:00:00","BZN|CH","Without Sequence","26.71","",""
"01/01/2015 10:00:00 - 01/01/2015 11:00:00","BZN|CH","Without Sequence","30.04","",""
"01/01/2015 11:00:00 - 01/01/2015 12:00:00","BZN|CH","Without Sequence","31.77","",""
"01/01/2015 12:00:00 - 01/01/2015 13:00:00","BZN|CH","Without Sequence","35.09","",""
"01/01/2015 13:00:00 - 01/01/2015 14:00:00","BZN|CH","Without Sequence","35.39","",""
"01/01/2015 14:00:00 - 01/01/2015 15:00:00","BZN|CH","Without Sequence","31.47","",""
"01/01/2015 15:00:00 - 01/01/2015 16:00:00","BZN|CH","Without Sequence","29.08","",""
"01/01/2015 16:00:00 - 01/01/2015 17:00:00","BZN|CH","Without Sequence","31.03","",""
"01/01/2015 17:00:00 - 01/01/2015 18:00:00","BZN|CH","Without Sequence","39.09","",""
"01/01/2015 18:00:00 - 01/01/2015 19:00:00","BZN|CH","Without Sequence","47.82","",""
"01/01/2015 19:00:00 - 01/01/2015 20:00:00","BZN|CH","Without Sequence","50.75","",""
"01/01/2015 20:00:00 - 01/01/2015 21:00:00","BZN|CH","Without Sequence","49.30","",""
"01/01/2015 21:00:00 - 01/01/2015 22:00:00","BZN|CH","Without Sequence","48.24","",""
"01/01/2015 22:00:00 - 01/01/2015 23:00:00","BZN|CH","Without Sequence","49.04","",""
"01/01/2015 23:00:00 - 02/01/2015 00:00:00","BZN|CH","Without Sequence","46.14","",""
"02/01/2015 00:00:00 - 02/01/2015 01:00:00","BZN|CH","Without Sequence","42.29","",""
"02/01/2015 01:00:00 - 02/01/2015 02:00:00","BZN|CH","Without Sequence","38.10","",""
"02/01/2015 02:00:00 - 02/01/2015 03:00:00","BZN|CH","Without Sequence","38.03","",""
"02/01/2015 03:00:00 - 02/01/2015 04:00:00","BZN|CH","Without Sequence","32.06","",""
"02/01/2015 04:00:00 - 02/01/2015 05:00:00","BZN|CH","Without Sequence","27.66","",""
"02/01/2015 05:00:00 - 02/01/2015 06:00:00","BZN|CH","Without Sequence","28.00","",""
"02/01/2015 06:00:00 - 02/01/2015 07:00:00","BZN|CH","Without Sequence","33.44","",""
"02/01/2015 07:00:00 - 02/01/2015 08:00:00","BZN|CH","Without Sequence","37.10","",""
"02/01/2015 08:00:00 - 02/01/2015 09:00:00","BZN|CH","Without Sequence","39.34","",""
"02/01/2015 09:00:00 - 02/01/2015 10:00:00","BZN|CH","Without Sequence","41.82","",""
"02/01/2015 10:00:00 - 02/01/2015 11:00:00","BZN|CH","Without Sequence","42.19","",""
"02/01/2015 11:00:00 - 02/01/2015 12:00:00","BZN|CH","Without Sequence","43.00","",""
"02/01/2015 12:00:00 - 02/01/2015 13:00:00","BZN|CH","Without Sequence","44.02","",""
"02/01/2015 13:00:00 - 02/01/2015 14:00:00","BZN|CH","Without Sequence","42.48","",""
"02/01/2015 14:00:00 - 02/01/2015 15:00:00","BZN|CH","Without Sequence","39.12","",""
"02/01/2015 15:00:00 - 02/01/2015 16:00:00","BZN|CH","Without Sequence","38.05","",""
"02/01/2015 16:00:00 - 02/01/2015 17:00:00","BZN|CH","Without Sequence","39.49","",""
"02/01/2015 17:00:00 - 02/01/2015 18:00:00","BZN|CH","Without Sequence","47.91","",""
"02/01/2015 18:00:00 - 02/01/2015 19:00:00","BZN|CH","Without Sequence","52.88","",""
"02/01/2015 19:00:00 - 02/01/2015 20:00:00","BZN|CH","Without Sequence","52.96","",""
"02/01/2015 20:00:00 - 02/01/2015 21:00:00","BZN|CH","Without Sequence","49.91","",""
"02/01/2015 21:00:00 - 02/01/2015 22:00:00","BZN|CH","Without Sequence","48.93","",""
"02/01/2015 22:00:00 - 02/01/2015 23:00:00","BZN|CH","Without Sequence","50.00","",""
"02/01/2015 23:00:00 - 03/01/2015 00:00:00","BZN|CH","Without Sequence","49.86","",""
"03/01/2015 00:00:00 - 03/01/2015 01:00:00","BZN|CH","Without Sequence","39.48","",""
"03/01/2015 01:00:00 - 03/01/2015 02:00:00","BZN|CH","Without Sequence","37.01","",""
"03/01/2015 02:00:00 - 03/01/2015 03:00:00","BZN|CH","Without Sequence","35.61","",""
